Date,Close,Equity
0.27,35055.4,10000
0.2299,21476.2,10000
0.2082,8157.89,10000
0.2275,20312.2,10000
0.255,2570.34,10000
0.251,28560.7,10000
0.206,5740.18,10000
0.19,4319.26,10000
0.204,24592.9,10000
0.2402,3430.41,10000
0.2388,21336.3,10000
0.2,1684.25,10000
0.204,5788.69,10000
0.228,1963.56,10000
0.22,6415.59,10000
0.2299,10388.1,10000
0.2467,3684.68,10000
0.24,14355.3,10000
0.25,525.51,10000
0.24,169.11,10000
0.241,2000.76,10000
0.2401,10682.7,10000
0.267,9225.79,10000
0.24,3800.46,10000
0.25,8650.15,10000
0.25,5033.25,10000
0.248,703,10000
0.2499,16585,10000
0.265,4935.49,10000
0.265,15438.7,10000
0.281,18609.1,10000
0.3,2539.87,10000
0.3,1453.72,10000
0.3,2821.24,10000
0.3,5352.11,10000
0.3,1425.19,10000
0.295,1879,10000
0.2989,357.16,10000
0.299,3456.49,10000
0.298,42601.1,10000
0.32,1629.44,10000
0.3229,1691.37,10000
0.323,10355.8,10000
0.3266,4857.8,10000
0.3266,31359.8,10000
0.3188,20118.9,10000
0.3176,27131,10000
0.4,1515.66,10000
0.3861,2778.71,10000
0.3868,18241.2,10000
0.3495,15671.5,10000
0.313,7291.63,10000
0.313,19882,10000
0.39,8477.55,10000
0.4199,10534.3,10000
0.4443,1148.4,10000
0.4424,11061.9,10000
0.4199,2163.72,10000
0.41,15564.8,10000
0.417,27708.2,10000
0.4212,5324.5,10000
0.446,1448.38,10000
0.439,10383.6,10000
0.4799,63516.1,10000
0.5501,31562.1,10000
0.7077,5627.48,10000
0.716,8524.5,10000
0.6964,42222.2,10000
0.811,15786.8,10000
0.92,8744.11,10000
0.8997,2264.28,10000
0.89,7021.29,10000
0.918,49632.5,10000
1.09,26559.6,10000
0.9803,13299.2,10000
1.07,4118.92,10000
1.08,3240.64,10000
1.05,7096.55,10000
1.07,8616.58,10000
1.05,7192.38,10000
1.045,4009.84,10000
1.04,36948.2,10000
0.8989,3798.71,10000
0.949,9974.05,10000
0.865,1700.12,10000
0.8345,12095.3,10000
0.8702,6718.87,10000
0.9,13418.7,10000
0.9974,4461.06,10000
0.9112,4744.41,10000
0.958,23268.8,10000
0.89,4651.67,10000
0.8702,22569.8,10000
0.9202,2741.87,10000
